entity_id,dt_url,pic_url,label_color,label_index,sku
134,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/Datablad El-Max LED armatur_0.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/80000100510_energimaerke.pdf,green,AAA,80000100510
135,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/80009983235_manual_2.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/energimærke.PNG,green,AA,80009983235
136,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/80009983237_Datablad_MD-9983237.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/80009983237_energimærke.jpg,green,AA,80009983237
137,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/80009983277_Datablad Wi-Fi LEd E14 MD-9983277.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/80009983277_Energimærke.jpg,green,AA,80009983277
138,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/80009983302_Datablad 9983302.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/80009983302_Energimærke.jpg,green,AA,80009983302
139,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/80009983303_Produktblad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/80009983303_2.jpg,green,AA,80009983303
140,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/Teknisk data Eldom_0.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/345118B10_Energimærke_72325NMP.jpg,darkgreen,B,345118B10
141,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/345118B15_datablad_0.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/345118A15_energimærke.jpg,darkgreen,B,345118A15
142,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/345118B15_datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/345118B15_energimærke.jpg,darkgreen,B,345118B15
143,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/342173014_ZSB14_5_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/342173014_Energimærke.jpg,lightgreen,A,342173014
144,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/342188165_Datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/342188165_Energimærke.jpg,yellow,C,342188165
145,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359200030 Datablad Danfoss Air.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359200030_Energilabel Danfoss A3_0.jpg,green,A,359200030
146,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359201010 Datablad Danfoss Air.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359201010_Danfoss Air W1_energimærke_0.jpg,green,A,359201010
147,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359201020 Datablad Danfoss Air.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359201020_Energilabel Danfoss Air W2_1.jpg,green,A,359201020
148,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359200020 Datablad Danfoss Air.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359200020_Energilabel Danfoss A2_2.jpg,green,A,359200020
149,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010085_Datablad Duplexvent DV72 90000556 Right_2.pdf,green,A,GENPAK2AE
150,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359010090_Datablad Duplexvent DV72 90000557 Left.pdf,green,A,359010090
