import_file_id,import_id,store_id,filename,label,customer_groups,is_visible,include_in_order,product_ids,category_ids,product_skus,link
,,0,087266514_datablad,087266514_datablad,,1,,,,087266514,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/087266514_datablad.pdf
,,0,192142130_hojtvandslukke,192142130_hojtvandslukke,,1,,,,192142130,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2020-11/192142130_hojtvandslukke.pdf
,,0,sikkerhedsdatablad-akameric-10102,sikkerhedsdatablad-akameric-10102,,1,,,,287001820,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/sikkerhedsdatablad-akameric-10102.pdf
,,0,familymatch-fra-biokube,familymatch-fra-biokube,,1,,,,223246060,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/familymatch-fra-biokube.pdf
,,0,153327740_datablad,153327740_datablad,,1,,,,153327740,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2021-02/153327740_datablad.pdf
,,0,153585820_datablad,153585820_datablad,,1,,,,153585820,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2021-02/153585820_datablad.pdf
,,0,17-,17-,,1,,,,153327710,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/17-.pdf
,,0,153321720_datablad,153321720_datablad,,1,,,,153321720,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2021-02/153321720_datablad.pdf
,,0,waterline_installation,waterline_installation,,1,,,,155059113,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/2021-04/waterline_installation.pdf
,,0,redtype3_datablad,redtype3_datablad,,1,,,,REDTYPE3,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/redtype3_datablad.pdf
,,0,overgang-vejl-duka,overgang-vejl-duka,,1,,,,"REDTYPE6A, REDTYPE4, REDTYPE6, REDTYPE10",https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/datasheets/overgang-vejl-duka.pdf
